STN,YYYYMMDD,TG,SP,DR
  209,20231201,     ,     ,     
  209,20231202,     ,     ,     
  209,20231203,     ,     ,     
  209,20231204,     ,     ,     
  209,20231205,     ,     ,     
  209,20231206,     ,     ,     
  209,20231207,     ,     ,     
  209,20231208,     ,     ,     
  209,20231209,     ,     ,     
  209,20231210,     ,     ,     
  209,20231211,     ,     ,     
  209,20231212,     ,     ,     
  209,20231213,     ,     ,     
  209,20231214,     ,     ,     
  209,20231215,     ,     ,     
  209,20231216,     ,     ,     
  209,20231217,     ,     ,     
  209,20231218,     ,     ,     
  209,20231219,     ,     ,     
  209,20231220,     ,     ,     
  209,20231221,     ,     ,     
  209,20231222,     ,     ,     
  209,20231223,     ,     ,     
  209,20231224,     ,     ,     
  209,20231225,     ,     ,     
  209,20231226,     ,     ,     
  209,20231227,     ,     ,     
  209,20231228,     ,     ,     
  209,20231229,     ,     ,     
  209,20231230,     ,     ,     
  209,20231231,     ,     ,     
  209,20240101,     ,     ,     
  209,20240102,     ,     ,     
  209,20240103,     ,     ,     
  209,20240104,     ,     ,     
  209,20240105,     ,     ,     
  209,20240106,     ,     ,     
  209,20240107,     ,     ,     
  209,20240108,     ,     ,     
  209,20240109,     ,     ,     
  209,20240110,     ,     ,     
  209,20240111,     ,     ,     
  209,20240112,     ,     ,     
  209,20240113,     ,     ,     
  209,20240114,     ,     ,     
  209,20240115,     ,     ,     
  209,20240116,     ,     ,     
  209,20240117,     ,     ,     
  209,20240118,     ,     ,     
  209,20240119,     ,     ,     
  209,20240120,     ,     ,     
  209,20240121,     ,     ,     
  209,20240122,     ,     ,     
  209,20240123,     ,     ,     
  209,20240124,     ,     ,     
  209,20240125,     ,     ,     
  209,20240126,     ,     ,     
  209,20240127,     ,     ,     
  209,20240128,     ,     ,     
  209,20240129,     ,     ,     
  209,20240130,     ,     ,     
  209,20240131,     ,     ,     
  209,20240201,     ,     ,     
  209,20240202,     ,     ,     
  209,20240203,     ,     ,     
  209,20240204,     ,     ,     
  209,20240205,     ,     ,     
  209,20240206,     ,     ,     
  209,20240207,     ,     ,     
  209,20240208,     ,     ,     
  209,20240209,     ,     ,     
  209,20240210,     ,     ,     
  209,20240211,     ,     ,     
  209,20240212,     ,     ,     
  209,20240213,     ,     ,     
  209,20240214,     ,     ,     
  209,20240215,     ,     ,     
  209,20240216,     ,     ,     
  209,20240217,     ,     ,     
  209,20240218,     ,     ,     
  209,20240219,     ,     ,     
  209,20240220,     ,     ,     
  209,20240221,     ,     ,     
  209,20240222,     ,     ,     
  209,20240223,     ,     ,     
  209,20240224,     ,     ,     
  209,20240225,     ,     ,     
  209,20240226,     ,     ,     
  209,20240227,     ,     ,     
  209,20240228,     ,     ,     
  209,20240229,     ,     ,     
  209,20240301,     ,     ,     
  209,20240302,     ,     ,     
  209,20240303,     ,     ,     
  209,20240304,     ,     ,     
  209,20240305,     ,     ,     
  209,20240306,     ,     ,     
  209,20240307,     ,     ,     
  209,20240308,     ,     ,     
  209,20240309,     ,     ,     
  209,20240310,     ,     ,     
  209,20240311,     ,     ,     
  209,20240312,     ,     ,     
  209,20240313,     ,     ,     
  209,20240314,     ,     ,     
  209,20240315,     ,     ,     
  209,20240316,     ,     ,     
  209,20240317,     ,     ,     
  209,20240318,     ,     ,     
  209,20240319,     ,     ,     
  209,20240320,     ,     ,     
  209,20240321,     ,     ,     
  209,20240322,     ,     ,     
  209,20240323,     ,     ,     
  209,20240324,     ,     ,     
  209,20240325,     ,     ,     
  209,20240326,     ,     ,     
  209,20240327,     ,     ,     
  209,20240328,     ,     ,     
  209,20240329,     ,     ,     
  209,20240330,     ,     ,     
  209,20240331,     ,     ,     
  209,20240401,     ,     ,     
  209,20240402,     ,     ,     
  209,20240403,     ,     ,     
  209,20240404,     ,     ,     
  209,20240405,     ,     ,     
  209,20240406,     ,     ,     
  209,20240407,     ,     ,     
  209,20240408,     ,     ,     
  209,20240409,     ,     ,     
  209,20240410,     ,     ,     
  209,20240411,     ,     ,     
  209,20240412,     ,     ,     
  209,20240413,     ,     ,     
  209,20240414,     ,     ,     
  209,20240415,     ,     ,     
  209,20240416,     ,     ,     
  209,20240417,     ,     ,     
  209,20240418,     ,     ,     
  209,20240419,     ,     ,     
  209,20240420,     ,     ,     
  209,20240421,     ,     ,     
  209,20240422,     ,     ,     
  209,20240423,     ,     ,     
  209,20240424,     ,     ,     
  209,20240425,     ,     ,     
  209,20240426,     ,     ,     
  209,20240427,     ,     ,     
  209,20240428,     ,     ,     
  209,20240429,     ,     ,     
  209,20240430,     ,     ,     
  209,20240501,     ,     ,     
  209,20240502,     ,     ,     
  209,20240503,     ,     ,     
  209,20240504,     ,     ,     
  209,20240505,     ,     ,     
  209,20240506,     ,     ,     
  209,20240507,     ,     ,     
  209,20240508,     ,     ,     
  209,20240509,     ,     ,     
  209,20240510,     ,     ,     
  209,20240511,     ,     ,     
  209,20240512,     ,     ,     
  209,20240513,     ,     ,     
  209,20240514,     ,     ,     
  209,20240515,     ,     ,     
  209,20240516,     ,     ,     
  209,20240517,     ,     ,     
  209,20240518,     ,     ,     
  209,20240519,     ,     ,     
  209,20240520,     ,     ,     
  209,20240521,     ,     ,     
  209,20240522,     ,     ,     
  209,20240523,     ,     ,     
  209,20240524,     ,     ,     
  209,20240525,     ,     ,     
  209,20240526,     ,     ,     
  209,20240527,     ,     ,     
  209,20240528,     ,     ,     
  209,20240529,     ,     ,     
  209,20240530,     ,     ,     
  209,20240531,     ,     ,     
  215,20231201,   -8,   64,    0
  215,20231202,   -3,   32,   19
  215,20231203,    7,    9,   42
  215,20231204,   20,    0,   25
  215,20231205,   23,    0,    0
  215,20231206,   39,   53,   17
  215,20231207,   13,    4,    5
  215,20231208,   59,    3,   35
  215,20231209,   84,    0,   64
  215,20231210,   99,   34,   49
  215,20231211,   95,    0,   36
  215,20231212,   78,    0,   42
  215,20231213,   81,    0,   25
  215,20231214,   56,   26,    0
  215,20231215,   87,    0,    0
  215,20231216,   91,    0,    0
  215,20231217,   90,   47,    0
  215,20231218,   83,    3,    0
  215,20231219,   88,    0,  162
  215,20231220,   91,   22,   12
  215,20231221,   99,   19,   31
  215,20231222,   95,    0,   37
  215,20231223,  103,   10,    8
  215,20231224,  116,    0,   88
  215,20231225,  114,    0,   83
  215,20231226,   72,   19,   13
  215,20231227,   78,    0,   31
  215,20231228,  107,    6,   23
  215,20231229,   98,    0,   17
  215,20231230,   89,    6,    0
  215,20231231,   87,   15,   63
  215,20240101,   82,   51,   48
  215,20240102,  109,    3,  111
  215,20240103,   96,   18,   60
  215,20240104,   81,    9,   76
  215,20240105,   74,    0,   32
  215,20240106,   37,   10,    0
  215,20240107,    4,   45,    0
  215,20240108,  -11,   21,    0
  215,20240109,  -22,   88,    0
  215,20240110,  -20,   87,    0
  215,20240111,    1,   14,    0
  215,20240112,   38,    7,    0
  215,20240113,   49,    0,    6
  215,20240114,   48,    6,   28
  215,20240115,   26,   21,   38
  215,20240116,   18,   61,   11
  215,20240117,   -2,    0,    0
  215,20240118,   -5,   60,    9
  215,20240119,   28,   72,    1
  215,20240120,    5,   62,    0
  215,20240121,   43,    2,    5
  215,20240122,   95,   67,   32
  215,20240123,   85,   41,   59
  215,20240124,   97,   25,    1
  215,20240125,   72,    2,   21
  215,20240126,   83,   73,   31
  215,20240127,   35,   84,    0
  215,20240128,   38,   86,    0
  215,20240129,   71,   56,    0
  215,20240130,   80,    0,   33
  215,20240131,   70,    3,   19
  215,20240201,   66,   86,    9
  215,20240202,   83,   21,    0
  215,20240203,  102,   23,   12
  215,20240204,  101,   14,    0
  215,20240205,   93,    3,    0
  215,20240206,  101,    9,   62
  215,20240207,   46,   44,   39
  215,20240208,   32,    0,  134
  215,20240209,  110,    3,   58
  215,20240210,  106,   23,   16
  215,20240211,   86,    2,   61
  215,20240212,   67,   54,    0
  215,20240213,   70,   41,   45
  215,20240214,  112,    0,   74
  215,20240215,  132,   21,   47
  215,20240216,  107,   26,   22
  215,20240217,  102,   11,    0
  215,20240218,   94,    0,  163
  215,20240219,   88,    5,    9
  215,20240220,   89,   24,    0
  215,20240221,   94,    0,   89
  215,20240222,   97,    3,   76
  215,20240223,   62,   16,   28
  215,20240224,   48,    6,   56
  215,20240225,   68,   54,    8
  215,20240226,   57,    8,    0
  215,20240227,   44,   86,    0
  215,20240228,   74,    0,    2
  215,20240229,   86,    0,   68
  215,20240301,   72,   26,   34
  215,20240302,   90,   50,   10
  215,20240303,   91,   24,    0
  215,20240304,   70,   58,    0
  215,20240305,   64,    6,   19
  215,20240306,   72,   61,    0
  215,20240307,   60,   73,    0
  215,20240308,   54,   91,    0
  215,20240309,   84,   44,    0
  215,20240310,   89,    4,    0
  215,20240311,   72,    0,   71
  215,20240312,   87,    9,   75
  215,20240313,  113,    6,    6
  215,20240314,  129,   80,    0
  215,20240315,  123,   48,   22
  215,20240316,   75,   41,   11
  215,20240317,   98,    3,   66
  215,20240318,  103,   58,    0
  215,20240319,  113,   48,    0
  215,20240320,  107,   31,    0
  215,20240321,   93,   11,    0
  215,20240322,   92,    0,   36
  215,20240323,   75,   63,   10
  215,20240324,   73,   13,   56
  215,20240325,   74,   86,    0
  215,20240326,   84,   26,    0
  215,20240327,   98,   32,    9
  215,20240328,   91,   35,   24
  215,20240329,  110,   37,    1
  215,20240330,   80,    7,   94
  215,20240331,   96,   12,   49
  215,20240401,   95,   36,    0
  215,20240402,   97,   26,   33
  215,20240403,  110,   14,   45
  215,20240404,  120,   46,   35
  215,20240405,  136,   51,   25
  215,20240406,  169,   42,    0
  215,20240407,  144,   71,   16
  215,20240408,  143,   40,    4
  215,20240409,  110,    9,   11
  215,20240410,  114,   79,    0
  215,20240411,  130,    0,    3
  215,20240412,  155,   67,    0
  215,20240413,  163,   61,    0
  215,20240414,  104,   59,    0
  215,20240415,   85,   26,   51
  215,20240416,   83,   27,   53
  215,20240417,   60,   34,   24
  215,20240418,   73,   58,   16
  215,20240419,   88,   32,   69
  215,20240420,   74,   47,    7
  215,20240421,   65,   70,   12
  215,20240422,   56,   41,    8
  215,20240423,   56,   58,    7
  215,20240424,   70,   58,    6
  215,20240425,   63,    6,   69
  215,20240426,   74,   69,    9
  215,20240427,  114,   10,   30
  215,20240428,  113,   19,    5
  215,20240429,  123,   87,    0
  215,20240430,  156,   30,    0
  215,20240501,  169,   78,    5
  215,20240502,  166,   80,   22
  215,20240503,  107,    5,   58
  215,20240504,  112,   33,   46
  215,20240505,  124,   79,   30
  215,20240506,  152,   27,    0
  215,20240507,  138,   87,    0
  215,20240508,  113,   20,    0
  215,20240509,  117,   57,    0
  215,20240510,  146,   75,    0
  215,20240511,  171,   85,    0
  215,20240512,  197,   77,    0
  215,20240513,  186,   62,    0
  215,20240514,  189,   66,   19
  215,20240515,  156,   15,   64
  215,20240516,  153,   18,   19
  215,20240517,  137,    3,    6
  215,20240518,  161,   77,    0
  215,20240519,  164,   71,    0
  215,20240520,  140,    5,   30
  215,20240521,  166,   36,   79
  215,20240522,  153,   25,   20
  215,20240523,  152,   49,    0
  215,20240524,  140,    9,   91
  215,20240525,  144,   22,   50
  215,20240526,  150,   22,   21
  215,20240527,  142,   45,    0
  215,20240528,  144,   39,   77
  215,20240529,  149,   33,   49
  215,20240530,  137,   17,    7
  215,20240531,  149,   23,   18
  225,20231201,     ,     ,     
  225,20231202,     ,     ,     
  225,20231203,     ,     ,     
  225,20231204,     ,     ,     
  225,20231205,     ,     ,     
  225,20231206,     ,     ,     
  225,20231207,     ,     ,     
  225,20231208,     ,     ,     
  225,20231209,     ,     ,     
  225,20231210,     ,     ,     
  225,20231211,     ,     ,     
  225,20231212,     ,     ,     
  225,20231213,     ,     ,     
